,dob,gn,Full name
0,01/03/68,F,WILLIAM SMITH
1,01/03/68,F,WILLIAM ROTHMEYER
2,01/03/68,F,WILLIAM ASBY
3,01/03/68,F,WILLIAM SALTER
4,21/02/62,F,WILLIAM BLAND
5,21/02/62,F,WILLIAM SHAFFER
6,21/02/62,F,BILL BLAND
7,08/06/54,F,WILLIAM BLAND
8,25/10/53,F,WILLIAM BLAND
9,25/10/53,F,WILLIAM SHAFFER
10,25/10/53,F,THOMAS DUNCAN
11,25/10/53,F,ROY CARLSON
12,25/10/53,F,RON CARLSON
13,25/10/53,F,ROY DUNCAN
14,25/10/53,M,ROY MICHAELSON
15,01/05/51,M,ROY MICHAELSON
16,17/06/48,M,ROY MICHAELSON
17,09/04/47,M,ROY MICHAELSON
18,09/04/47,M,ROBERT MICHAELSON
19,09/04/47,M,BOB MICHAELSON
20,11/03/47,M,OWEN MUSTAPHA
21,11/03/47,M,OWAN MUSTAPHA
22,31/01/46,M,LAWRENCE HOUGHTON
23,31/01/46,M,LAWRENCE LIND
24,31/01/46,M,KENNETH LIND
25,20/01/46,M,JOHN LIND
26,20/01/46,M,JOHN CAIN
27,09/06/45,M,JOHN CLARK
28,09/02/45,M,RONALD CLARK
29,09/02/45,M,DONALD CLARK
30,16/12/44,M,JOHN CLARK
31,16/12/44,M,JOHN MICHAELSON
32,24/04/40,M,JOHN MICHAELSON
33,24/06/39,M,JOHN MICHAELSON
34,24/06/39,M,JAMES MICHAELSON
35,24/06/39,M,JACK MICHAELSON
36,09/06/39,M,JACK MICHAELSON
37,09/06/39,M,HAROLD LARSON
38,07/10/37,M,HAROLD MUSTAPHA
39,07/10/37,M,HAROLD HOUGHTON
40,07/10/37,M,HAROLD MELVIN
41,07/10/37,M,HAROLD CHAVAS
42,07/10/37,M,HAROLD MICHAELSON
43,07/10/37,M,HAROLD SMITH
44,07/10/37,M,HAROLD FAGEN
45,07/10/37,M,GEORGE FAGEN
46,07/10/37,M,DARH GRIFFIN
47,10/07/37,M,DARL GRIFFIN
48,07/05/37,M,DARL GRIFFIN
49,07/05/37,M,CLIFFORD GRIFFIN
50,07/05/37,M,CLARENCE GRIFFIN
51,24/11/34,M,ADDISON HANNA
52,15/10/32,M,ADDISON GALETICH
53,06/12/37,F,HARRIET FUNARO
